"Ligand"	"V-OH2"	"S"	"R-OH2"	"G-OH2"	"W1-OH2"	"W2-OH2"	"W3-OH2"	"W4-OH2"	"W5-OH2"	"W6-OH2"	"W7-OH2"	"W8-OH2"	"BV11-OH2"	"BV21-OH2"	"BV31-OH2 "	"BV12-OH2 "	"BV22-OH2 "	"BV32-OH2 "	"Iw1-OH2 "	"Iw2-OH2 "	"Iw3-OH2 "	"Iw4-OH2"	"Iw5-OH2"	"Iw6-OH2"	"Iw7-OH2"	"Iw8-OH2"	"Cw1-OH2"	"Cw2-OH2"	"Cw3-OH2"	"Cw4-OH2"	"Cw5-OH2"	"Cw6-OH2"	"Cw7-OH2"	"Emin1-OH2"	"Emin2-OH2 "	"Emin3-OH2 "	"D12-OH2"	"D13-OH2"	"D23-OH2"	"D1-DRY"	"D2-DRY"	"D3-DRY"	"D4-DRY"	"D5-DRY"	"D6-DRY"	"D7-DRY"	"D8-DRY"	"BV11-DRY"	"BV21-DRY"	"BV31-DRY"	"BV12-DRY"	"BV22-DRY"	"BV32-DRY"	"ID1-DRY"	"ID2-DRY"	"ID3-DRY"	"ID4-DRY"	"ID5-DRY"	"ID6-DRY"	"ID7-DRY"	"ID8-DRY"	"Emin1-DRYs"	"Emin2-DRY"	"Emin3-DRY"	"D12-DRY"	"D13-DRY"	"D23-DRY"	"HL1"	"HL2"	"A"	"CP"	"W1-O"	"W2-O"	"W3-O"	"W4-O"	"W5-O"	"W6-O"	"W7-O"	"HB1-O"	"HB2-O"	"HB3-O"	"HB4-O"	"HB5-O"	"HB6-O"	"HB7-O"	"HB8-O"	"W1-BOTH"	"W2-BOTH"	"W3-BOTH"	"W4-BOTH"	"W5-BOTH"	"W1-O::"	"W2-O::"	"W3-O::"	"W4-O::"	"W5-O::"	"W6-O::"	"W7-O::"	"W8-O::"	"HB1-O::"	"HB2-O::"	"HB3-O::"	"HB4-O::"	"HB5-O::"	"HB6-O::"	"HB7-O::"	"HB8-O::"	"POL"	"Elon"	"EEFR"	"DIFF"	"Volsurf_LogP"	"MW"	"W1-N1"	"W2-N1"	"W3-N1"	"W4-N1"	"W5-N1"	"W6-N1"	"W7-N1"	"W8-N1"	"W1-N:="	"W2-N:="	"W3-N:="	"W4-N:="	"W5-N:="	"W6-N:="	"W7-N:="	"W8-N:="	"W1-N3+"	"W2-N3+"	"W3-N3+"	"W1-O-"	"W2-O-"	"W3-O-"
"smallMol_1"	872	"602.14"	16438	21551	1446	"905.88"	"491.88"	"157.25"	"57.38"	"14.62"	32174	"0.25"	"95.62"	86	"74.62"	22981	22920	40157	"0.02"	"0.05"	"0.07"	"0.15"	"0.23"	"0.31"	"0.39"	"0.77"	39905	39934	"0.82"	"0.26"	"0.1"	"0.02"	0	43617	23132	47209	20668	40127	13455	"178.62"	"105.25"	"78.38"	"59.12"	"44.75"	"36.5"	29	"22.75"	49	"29.38"	0	"30.25"	39947	0	"16.86"	39926	39991	"31.71"	"35.14"	"38.66"	"43.26"	"38.2"	35827	27061	24504	21337	29037	23224	"0.73"	"0.25"	42767	28581	"1127.75"	464	"127.88"	"31.25"	"13.62"	27515	22647	"318.25"	"441.88"	364	126	"43.75"	32356	45658	"0.25"	"28.75"	22920	39936	40148	"0.25"	"1726.88"	"954.62"	"439.75"	"94.38"	"21.25"	45931	4	40148	"-280.88"	"-48.75"	"52.12"	"62.88"	"36.12"	13971	"-1.12"	"-0.88"	"43.14"	39985	39965	"0.14"	24167	"395.46"	"1208.38"	"781.62"	506	"226.62"	"114.38"	"51.62"	"13.62"	"1.5"	"1283.88"	"834.38"	"449.12"	172	"76.25"	"32.75"	"7.62"	"1.25"	"235.75"	"45.25"	"4.62"	"156.25"	"20.75"	"0.38"
"smallMol_2"	"1110.75"	"730.22"	18994	24473	2293	"2100.38"	"1454.62"	"808.75"	"483.88"	279	"121.12"	"37.75"	"157.62"	"114.5"	"109.25"	"46.75"	"36.62"	36	"0.02"	"0.02"	"0.04"	"0.07"	"0.1"	"0.16"	"0.32"	"0.59"	41699	32174	36161	40118	"0.66"	"0.38"	"0.17"	11963	39821	39880	28825	17137	"0.71"	22706	1	"0.25"	"0.12"	"0.12"	0	0	0	"0.25"	0	0	"0.12"	0	0	39844	"67.83"	"182.54"	"218.49"	"218.49"	0	0	0	41275	"0.48"	"0.38"	"14.19"	"14.58"	39934	"967.75"	558	19238	0	"2154.25"	"1812.38"	"1112.38"	"533.75"	"276.88"	"121.38"	"30.62"	"138.75"	288	"342.25"	275	207	"157.62"	"90.5"	"31.25"	32143	"0.88"	"0.25"	"0.12"	"0.12"	"2425.75"	"1978.88"	1345	"688.62"	"372.12"	"184.75"	"66.88"	39951	"-132.75"	"121.5"	"109.62"	"120.12"	"111.75"	"94.25"	"54.25"	"19.25"	"56.18"	"19.13"	41275	"0.19"	"-10.52"	"645.61"	"1517.88"	"939.38"	524	169	"60.38"	"13.12"	"2.25"	"0.75"	"1580.88"	827	"342.12"	"65.12"	"22.62"	"10.88"	"3.88"	"1.12"	"196.38"	"7.38"	0	92	9	"0.38"
"smallMol_3"	"810.75"	"565.07"	15707	20455	"1269.62"	"786.88"	"463.5"	212	"112.62"	58	"21.88"	39936	"173.62"	"99.5"	"82.25"	"47.62"	40174	39959	"0.08"	"0.15"	"0.23"	"0.38"	"0.51"	"0.62"	"0.75"	1	45689	14246	"0.82"	"0.38"	"0.2"	"0.1"	"0.04"	46569	17319	6	21002	44562	23955	"227.12"	"89.75"	"51.62"	39962	"17.88"	40162	39943	40155	41	22706	39935	"17.88"	0	0	"22.78"	"43.13"	"55.07"	"85.2"	"111.16"	"117.88"	"128.15"	"138.7"	22313	21582	35431	"0.71"	45383	39876	43132	35431	28946	"0.79"	"1062.75"	"492.75"	"205.38"	"74.38"	40177	45809	0	"206.88"	"294.12"	"258.12"	"137.62"	"82.5"	"51.75"	"21.88"	39936	40159	5	45658	"0.5"	0	"1553.62"	"884.25"	"409.5"	"120.12"	"47.25"	"17.25"	27395	0	-284	"-97.38"	54	"91.88"	"65.38"	"40.75"	40167	39936	"36.15"	13	44197	"0.56"	23377	"336.43"	"2321.88"	"2157.12"	1647	"918.38"	"522.5"	"260.5"	"58.25"	"0.62"	"2298.62"	2014	"1436.25"	726	"388.5"	"185.12"	"45.62"	"2.88"	"841.75"	"195.88"	"15.12"	"659.75"	"162.25"	"14.25"
"smallMol_4"	"703.88"	"489.43"	16072	16438	"1180.75"	"690.25"	"362.88"	"159.38"	"87.62"	"44.62"	"17.88"	2	"140.5"	"129.12"	"47.12"	"43.75"	"34.62"	5	"0.13"	"0.25"	"0.41"	"0.66"	"0.83"	"0.99"	39814	"0.95"	15008	14977	"0.74"	"0.33"	"0.18"	"0.09"	"0.04"	24990	12571	40061	19299	23224	42552	"251.75"	"111.5"	"67.62"	"44.62"	"28.38"	"22.25"	"15.25"	10	"46.75"	17	2	40172	3	"0.25"	"16.98"	"15.35"	"14.84"	"19.98"	"38.35"	"45.21"	"51.2"	"81.55"	26330	20486	19756	14032	15493	"0.71"	39873	1	39907	27120	"882.12"	"319.25"	"88.5"	"25.88"	14154	27426	"0.12"	"298.62"	371	"274.38"	"133.5"	"77.25"	"41.88"	"17.75"	2	14	4	40148	"0.12"	0	"1382.88"	"724.88"	"292.75"	"54.25"	40165	39940	39934	"0.12"	"-202.12"	"-34.62"	"70.12"	"105.12"	"69.5"	"37.12"	"16.38"	32143	"30.97"	39863	39904	"0.49"	24504	"277.37"	"1358.62"	"835.12"	"514.12"	"236.12"	"123.12"	"58.25"	"17.62"	"0.5"	"1406.75"	"775.25"	"382.25"	"126.62"	"58.12"	"22.38"	"3.62"	"0.12"	"240.5"	"52.5"	"2.38"	112	"13.75"	0
"smallMol_5"	"377.12"	"285.15"	11689	39845	"774.75"	"519.25"	"269.88"	"111.38"	"56.25"	"24.88"	40155	"0.88"	129	"94.75"	"43.88"	"35.25"	"15.75"	45778	"0.1"	"0.17"	"0.29"	"0.51"	"0.73"	40026	26665	33604	26330	29952	"0.95"	"0.39"	"0.2"	"0.09"	"0.03"	41791	26024	41640	43282	39849	30742	"107.12"	"62.12"	"35.88"	"21.25"	"16.62"	27699	7	39938	"35.88"	0	0	"16.62"	0	0	"16.56"	"24.44"	"28.88"	"44.16"	"47.45"	"68.14"	"76.1"	"85.79"	15373	14277	35431	21337	16469	40031	20821	42736	39936	32143	622	"320.38"	"120.25"	"39.62"	"15.62"	3	0	"152.75"	"198.88"	"149.62"	"71.75"	"40.62"	"21.88"	40155	"0.88"	10	45748	27395	"0.75"	0	"900.12"	"531.25"	"253.12"	61	40170	8	40148	0	"-125.38"	-12	"16.75"	"50.38"	"33.12"	"16.88"	7	"0.88"	39829	26938	1	40057	39904	"151.16"	"1262.62"	"748.25"	"398.12"	"168.75"	92	"47.38"	"16.38"	"0.75"	"1250.25"	"613.5"	"225.12"	"44.88"	"18.88"	"8.25"	2	"0.12"	"162.88"	"31.38"	0	"52.62"	6	"0.12"
"smallMol_6"	"412.75"	"310.95"	12055	45658	"1041.88"	"860.62"	"570.62"	"289.12"	"137.88"	"50.25"	"17.88"	27426	"118.5"	"107.5"	"102.5"	"36.38"	"25.62"	"22.25"	"0.09"	"0.12"	"0.16"	"0.19"	"0.14"	"0.41"	"0.65"	42767	12844	28157	30682	"0.93"	"0.44"	"0.16"	"0.06"	27942	17685	36281	40152	11963	39852	"56.75"	"32.75"	"24.75"	"17.62"	"14.25"	40158	45870	14001	16	7	40148	14062	22767	"0.88"	"44.21"	"50.07"	"56.97"	"60.93"	"63.78"	"67.25"	"69.96"	"82.1"	24504	28126	43466	24108	11810	39876	20941	31079	43497	"0.4"	"794.88"	"409.25"	"176.25"	"50.88"	"21.75"	22859	22678	247	"451.38"	"394.38"	"238.25"	"116.12"	"41.62"	"15.25"	39935	"15.25"	45901	5	27426	39934	"1200.62"	"694.25"	"378.12"	"124.75"	"41.38"	"17.88"	40154	22647	"-158.75"	"166.38"	"192.5"	"164.38"	"96.5"	"32.38"	27668	40148	"18.93"	10	40057	"0.67"	"-0.6"	"222.25"	"799.25"	"486.62"	"253.75"	"108.12"	"58.12"	"27.25"	"8.75"	"0.38"	"829.25"	"491.75"	"230.38"	"64.88"	"27.62"	"9.75"	"0.88"	0	"98.38"	"16.12"	0	"56.12"	"5.62"	0
"smallMol_7"	352	"277.45"	46388	44927	"868.88"	"735.12"	"445.62"	199	"111.75"	60	"23.88"	40149	"143.88"	"134.75"	"81.12"	"45.38"	"43.38"	19	"0.13"	"0.15"	"0.25"	"0.51"	"0.64"	"0.74"	"0.79"	40118	41334	23774	22282	"0.72"	"0.4"	"0.22"	"0.09"	40062	29007	24593	19176	14305	14366	"25.38"	40159	22859	40152	3	22647	"0.62"	"0.38"	40154	13881	"0.12"	45689	"0.75"	0	32021	"18.77"	"23.36"	"23.29"	"51.94"	"64.76"	"121.46"	"176.67"	26299	18629	46388	21337	21337	14062	35400	26238	20455	"0.32"	"621.38"	"363.88"	"172.5"	"43.88"	17	40152	"0.5"	"247.5"	"371.25"	"273.12"	"155.12"	"94.75"	"54.88"	"23.38"	40149	45870	32174	22647	"0.75"	"0.25"	"883.88"	"541.38"	279	"85.38"	29	27699	3	"0.62"	-15	"193.75"	"166.62"	"113.62"	"82.75"	"48.25"	"20.88"	39934	"14.65"	39848	13516	39814	"-0.49"	"163.2"	"1065.38"	"836.75"	"598.38"	"303.62"	"143.5"	51	"14.62"	"0.75"	"1061.62"	623	"342.38"	99	"38.25"	"18.75"	7	"2.25"	"325.25"	"48.62"	0	"122.38"	"15.5"	"1.12"
"smallMol_8"	"629.38"	"440.65"	15707	13881	"1158.88"	"776.25"	"456.75"	"200.12"	"102.5"	"48.62"	"15.38"	3	"178.38"	"90.38"	"68.25"	"47.25"	"23.75"	40159	"0.07"	"0.12"	"0.18"	"0.32"	"0.43"	"0.53"	"0.81"	40057	23043	27760	39904	"0.45"	"0.23"	"0.11"	"0.03"	34851	26420	23498	35217	21367	15220	"165.25"	"90.25"	"48.38"	"34.5"	"24.25"	"20.88"	"16.38"	14215	"36.12"	22890	40148	40168	27426	"0.38"	39986	"33.93"	"51.47"	"61.05"	"67.68"	"68.3"	"82.73"	"97.31"	39816	39967	35096	44562	40153	16224	40149	14977	18688	39965	1007	"575.88"	"266.75"	"101.75"	"44.12"	40160	27395	"151.88"	"200.38"	190	"98.38"	"58.38"	"35.5"	"13.62"	3	20	40156	4	39934	"0.88"	"1368.75"	"884.5"	468	165	"68.62"	"25.38"	39939	40148	"-209.88"	"-108.25"	"-11.25"	"35.12"	"33.88"	"23.25"	32356	32143	"30.85"	39863	39904	"0.53"	"0.91"	"286.34"	"890.62"	"759.62"	"502.38"	"224.75"	"123.62"	"62.62"	"18.12"	"0.38"	"808.25"	"528.38"	"271.88"	"82.12"	"30.38"	"11.25"	"2.75"	"0.38"	"208.75"	"39.75"	0	"80.12"	10	"0.25"
"smallMol_9"	"408.88"	"301.16"	13150	39845	870	"618.12"	356	"170.5"	93	"50.5"	"20.38"	45717	"136.75"	"132.25"	"48.75"	"42.25"	"38.5"	45992	"0.19"	"0.3"	"0.46"	"0.72"	"0.93"	39814	46753	30682	32540	39935	43101	"0.57"	"0.31"	"0.17"	"0.07"	27942	45108	26451	40148	14336	45413	"120.62"	63	"29.88"	"17.75"	22920	39941	22737	39936	"29.88"	0	0	22920	0	0	"36.07"	"49.83"	"50.88"	"55.38"	"66.54"	"73.34"	"97.04"	"118.28"	20852	44958	39966	24624	39937	19541	40120	31079	21641	"0.58"	"608.62"	"238.62"	"72.75"	"20.88"	22798	"0.75"	0	"261.38"	"379.5"	"283.25"	"149.62"	"86.38"	"49.75"	"20.38"	45717	32295	39935	"0.75"	0	0	"947.5"	"495.5"	"201.5"	"36.62"	39943	45689	0	0	"-77.5"	"122.62"	"154.5"	"133.88"	"82.5"	"48.25"	"20.38"	45717	40073	46569	43101	"0.9"	"0.74"	"180.16"	"1227.62"	"647.75"	"304.38"	"128.88"	"70.25"	"33.88"	"12.5"	"1.38"	"1239.88"	"559.88"	"132.62"	"4.62"	0	0	0	0	"136.25"	"30.62"	"0.62"	"19.62"	0	0
"smallMol_10"	"358.25"	"270.88"	11689	42736	"896.38"	"721.88"	"472.5"	"236.12"	125	"60.12"	39952	3	"135.25"	118	"89.12"	"33.5"	33	"23.25"	"0.16"	"0.22"	"0.29"	"0.42"	"0.51"	"0.58"	"0.7"	17533	11383	24139	27030	"0.87"	"0.46"	"0.22"	"0.07"	29007	20241	16954	40152	22372	"0.71"	"77.75"	"24.38"	40160	40155	27485	45689	40148	"0.5"	40156	40149	32143	3	"0.88"	"0.88"	"43.44"	"49.37"	"59.28"	"62.87"	"61.04"	"67.16"	"78.95"	"179.56"	39846	22282	15707	"0.71"	13697	39940	19238	39910	30011	"0.18"	"691.38"	"427.25"	"227.62"	"98.75"	"47.75"	39952	13971	205	"294.62"	"244.88"	"137.38"	"77.25"	"40.62"	40162	27426	14093	45717	27395	"0.38"	0	"930.12"	"618.62"	"349.88"	"127.25"	"63.5"	"31.75"	14185	40149	"-33.75"	"103.25"	"122.62"	"108.88"	"61.5"	"28.38"	40155	"0.88"	"14.46"	46569	43101	"0.91"	"-1.1"	"178.57"	"917.25"	"675.62"	"418.88"	"199.62"	"104.75"	"52.12"	"12.75"	0	"821.62"	"427.5"	"153.5"	"39.62"	"14.5"	"4.25"	"0.25"	0	"197.12"	"37.38"	"0.75"	"32.75"	"1.25"	0
"smallMol_11"	"471.25"	"346.29"	13150	47119	"1157.5"	"969.38"	"611.75"	296	"161.5"	"80.88"	"26.88"	7	"179.88"	"120.38"	"82.12"	"47.38"	"40.5"	"19.88"	"0.07"	"0.09"	"0.13"	"0.22"	"0.28"	"0.37"	"0.85"	"0.73"	12479	40027	28126	"0.85"	"0.47"	"0.23"	"0.08"	46235	42552	18780	44562	20668	46235	"67.12"	"49.5"	"36.5"	"27.75"	"21.62"	40165	14	14154	"35.12"	13881	0	"21.38"	"0.25"	0	"54.52"	"68.42"	"82.53"	"97.21"	"107.39"	"118.28"	"127.63"	"132.25"	30348	23408	20455	39970	39850	27089	15432	33270	39996	"0.4"	908	"566.12"	"271.25"	"104.12"	"46.12"	"15.38"	39935	"249.5"	"403.25"	"340.5"	"191.88"	"115.38"	"65.5"	"24.38"	32295	"13.38"	32295	27426	27395	"0.88"	"1196.5"	"811.75"	"450.12"	"161.88"	68	"28.25"	32295	45658	-39	"157.62"	"161.62"	"134.12"	"93.5"	"52.62"	20	27515	40046	40159	41275	"0.67"	"-1.95"	"225.21"	"914.25"	"744.25"	"541.88"	"272.38"	"138.88"	"54.88"	"8.88"	0	"891.25"	"590.25"	336	"136.62"	"71.5"	"32.12"	"10.62"	"0.75"	"232.62"	"25.25"	0	"122.88"	"28.25"	"0.62"
"smallMol_12"	"523.88"	"371.44"	14977	46753	"1140.88"	895	"571.38"	"285.88"	"157.88"	"83.88"	"31.25"	22798	"134.5"	"91.62"	"90.88"	"44.5"	"26.62"	"25.75"	"0.12"	"0.16"	"0.24"	"0.38"	"0.51"	"0.56"	"0.56"	"0.67"	39997	15008	19725	"0.77"	"0.43"	"0.23"	"0.08"	41852	26451	15858	15950	24777	39847	"89.5"	"52.25"	"33.38"	40168	"16.25"	40160	27638	45839	"28.62"	27426	2	"15.38"	"0.5"	"0.38"	"42.47"	"62.75"	84	"106.84"	"127.18"	"145.04"	"175.53"	"209.23"	35096	23408	35065	21186	39939	39819	26755	35490	19815	"0.32"	"987.5"	"621.62"	"309.62"	"118.38"	"56.38"	"24.88"	39938	"153.38"	"273.38"	"261.75"	"167.5"	"101.5"	59	"25.75"	39939	40162	40154	39936	32143	1	"1316.62"	"870.12"	"508.12"	"191.25"	"83.62"	"41.75"	"15.88"	13912	"-175.75"	"24.88"	"63.25"	"94.62"	"74.25"	"42.12"	"15.38"	45748	"23.94"	12389	42005	"0.66"	"-1.48"	"273.19"	1157	"943.88"	"662.38"	"322.38"	"172.88"	"82.25"	"20.5"	"1.88"	"1138.38"	"779.88"	"431.25"	"165.38"	76	"33.25"	7	"1.12"	"306.75"	"52.75"	"3.25"	"154.62"	"23.38"	"0.62"
"smallMol_13"	785	"534.61"	17168	17533	"1217.12"	"642.62"	"337.12"	"141.88"	76	"37.38"	"13.25"	45689	"87.5"	"86.88"	"66.88"	"24.62"	"20.38"	"18.88"	"0.08"	"0.18"	"0.34"	"0.59"	"0.75"	"0.9"	1	43466	46784	39845	"0.63"	"0.27"	"0.14"	"0.07"	"0.02"	42186	39850	31533	21337	12540	15097	"364.38"	"175.88"	"100.12"	"63.88"	"42.75"	"31.25"	"24.62"	"18.88"	"54.5"	39957	40168	"21.88"	22920	45931	"24.15"	"34.95"	"43.19"	"51.17"	"60.2"	"62.98"	"72.87"	"73.12"	40059	40028	39847	12571	19784	12571	"0.76"	"0.59"	22402	27791	"985.5"	"321.5"	"42.88"	0	0	0	0	"231.62"	"321.12"	"294.25"	"141.88"	76	"37.38"	"13.25"	45689	40165	39943	40154	13971	39935	1552	"823.5"	"325.62"	"46.5"	13912	0	0	0	"-334.88"	"-180.88"	39944	"95.38"	"73.62"	"37.38"	"13.25"	45689	"38.95"	"16.46"	39995	"0.15"	13241	"351.84"	"1167.25"	"904.12"	"650.88"	"328.25"	"179.25"	"86.38"	"26.25"	"1.12"	"1207.38"	"825.12"	"496.88"	"195.88"	"93.62"	"44.5"	"16.62"	"1.75"	"325.62"	"69.38"	"2.75"	"182.75"	"36.38"	"1.25"
"smallMol_14"	"585.12"	"424.89"	13881	14977	"1045.38"	"688.88"	"399.38"	"182.12"	95	"46.75"	16	32143	"157.12"	"145.12"	61	"40.75"	39	45992	"0.12"	"0.2"	"0.29"	"0.42"	"0.51"	"0.55"	"0.46"	17899	16834	22647	"0.94"	"0.43"	"0.22"	"0.11"	"0.04"	24289	41791	28246	26604	40067	40148	"148.88"	"47.75"	"27.38"	32448	39939	22706	22678	22647	"15.38"	45748	32174	27515	"0.5"	"0.25"	"18.25"	44378	16528	"34.65"	"70.77"	"86.96"	"96.07"	"84.09"	42401	35065	32509	35217	"0.71"	39910	17227	34394	39905	43221	"948.62"	"561.62"	"286.38"	"113.5"	"47.75"	40160	27395	"96.75"	"127.25"	113	"68.62"	"47.25"	"33.62"	"14.25"	27395	"13.38"	39939	39936	22647	"0.38"	"1272.5"	"812.12"	423	"158.5"	"68.88"	"26.38"	14001	1	"-227.12"	"-123.25"	"-23.62"	"23.62"	40173	"20.38"	22920	"0.88"	"26.54"	33786	47119	"0.72"	15707	"239.31"	"1323.38"	"746.75"	"419.38"	"177.12"	"95.88"	"48.12"	"17.88"	"2.88"	"1411.38"	"689.62"	"231.25"	"23.62"	"2.12"	0	0	0	"195.88"	"47.38"	"5.25"	"45.5"	0	0
"smallMol_15"	"1380.38"	"810.86"	39995	20821	"1759.25"	916	"374.25"	"145.5"	"75.75"	"36.12"	14185	1	"150.38"	"136.75"	14154	"40.88"	"34.88"	0	"0.01"	"0.02"	"0.04"	"0.08"	"0.1"	"0.12"	"0.17"	"0.59"	42767	41275	"0.46"	"0.18"	"0.09"	"0.04"	"0.01"	28277	39996	27395	39970	29037	33725	"472.75"	223	"110.62"	"60.38"	40	"30.25"	"24.62"	"18.25"	"25.75"	39957	20	"16.38"	40155	22798	24259	33543	"18.89"	"31.19"	"36.04"	"47.06"	"49.53"	"64.45"	45352	41699	31079	13302	39849	36373	"0.68"	"0.6"	30682	24959	"4414.38"	1310	"408.5"	"113.5"	"49.38"	"15.75"	27395	"-2655.12"	-394	"-34.25"	32	"26.38"	"20.38"	22890	"0.38"	45839	40151	32143	1	"0.5"	"8080.25"	"2727.88"	"1199.5"	"313.25"	"115.62"	"45.25"	"13.75"	13940	-6321	"-1811.88"	"-825.25"	"-167.75"	"-39.88"	"-9.12"	"-2.38"	"-2.38"	"77.27"	20	40057	"-0.29"	35156	"666.91"	"1108.38"	"728.25"	460	"215.62"	"110.75"	"50.12"	"11.88"	"0.25"	"1161.12"	"763.12"	"429.62"	"176.5"	"81.62"	34	"6.38"	1	"200.62"	"31.75"	0	"149.12"	"20.5"	"0.88"
"smallMol_16"	"936.25"	"626.76"	17899	21186	"1362.38"	"834.88"	"504.62"	"231.5"	"126.38"	"66.38"	39958	27485	"116.38"	"106.88"	"91.62"	"30.75"	39960	"25.62"	"0.05"	"0.08"	"0.13"	"0.2"	"0.25"	"0.3"	"0.33"	"0.3"	42767	12055	"0.81"	"0.37"	"0.2"	"0.11"	"0.04"	44774	19511	39909	34790	35186	31625	"238.12"	"110.62"	"48.25"	"25.25"	"17.38"	"13.75"	40157	14062	39957	14	13940	40156	7	"0.5"	"15.55"	"29.24"	"45.27"	"84.67"	"116.1"	"135.58"	"166.05"	"173.34"	34731	22678	16834	40068	21033	30103	22678	23043	44197	"0.82"	"1048.25"	"322.62"	"32.12"	0	0	0	0	"314.12"	"512.25"	"472.5"	"231.5"	"126.38"	"66.38"	39958	27485	27638	39937	40149	"0.62"	"0.38"	"1664.75"	"854.62"	"325.38"	"33.38"	27395	0	0	0	"-302.38"	"-19.75"	"179.25"	"198.12"	"124.62"	"66.38"	39958	27485	"44.48"	"16.93"	39814	"0.3"	29952	"416.53"	"2328.5"	"1239.25"	"546.5"	196	"100.5"	"49.12"	"14.62"	"1.38"	"2040.12"	1181	"506.25"	"158.12"	"67.25"	"28.12"	"4.12"	"0.75"	"104.25"	"7.12"	0	"328.88"	44	"3.88"
"smallMol_17"	873	"611.64"	15707	23012	"1513.25"	"985.88"	"603.25"	"238.38"	111	"51.12"	39951	45689	"136.62"	"97.5"	91	"38.75"	"21.62"	"15.38"	"0.04"	"0.06"	"0.09"	"0.25"	"0.43"	"0.68"	"0.89"	"0.69"	17199	22282	"0.99"	"0.39"	"0.18"	"0.08"	"0.03"	39879	16954	35551	14093	40155	45108	"197.5"	"107.62"	67	"52.25"	"44.25"	"33.38"	39959	"19.38"	"56.88"	22798	32143	"39.62"	22706	"0.5"	35490	39864	"66.69"	"79.92"	"89.47"	"100.32"	"116.99"	"128.2"	39967	39906	12816	1	12571	26816	24108	"0.98"	25294	41275	"1154.38"	463	"151.62"	"43.75"	"18.75"	14062	39935	"358.88"	"522.88"	"451.62"	"194.62"	"92.25"	"43.75"	16	40149	"30.88"	"13.75"	27485	27395	"0.12"	"1776.5"	"964.12"	"434.75"	"106.12"	"33.12"	"15.88"	22767	32143	"-263.25"	"21.75"	"168.5"	"132.25"	"77.88"	"35.25"	32478	"0.38"	"40.75"	"21.53"	40026	"0.49"	32509	"389.46"	1469	923	607	"287.5"	"157.12"	"76.25"	"29.38"	"3.88"	"1496.38"	"702.25"	"217.62"	"13.88"	1	0	0	0	"293.88"	"67.38"	"3.5"	"32.5"	0	0
"smallMol_18"	"726.62"	"504.1"	16072	16803	"1252.5"	"805.5"	"484.38"	"210.62"	"101.5"	"47.25"	14215	27395	"96.38"	"95.62"	"81.12"	26	"24.62"	"19.25"	"0.13"	"0.21"	"0.31"	"0.47"	"0.6"	"0.68"	"0.69"	46388	17564	39965	"0.96"	"0.42"	"0.2"	"0.09"	"0.02"	35947	23894	30437	39847	30926	24716	"204.75"	"100.25"	"59.75"	"39.38"	"25.38"	19	"15.38"	45962	"31.75"	"17.88"	14062	"20.75"	22706	"0.88"	32813	39948	"46.73"	"83.24"	"142.86"	"162.49"	"174.85"	"205.45"	28157	26696	28856	"0.71"	26816	19876	39995	39845	20821	45658	"983.25"	"382.5"	"96.88"	39961	14154	27426	"0.38"	"269.25"	423	"387.5"	"182.12"	"91.12"	"44.5"	12	27395	40168	40157	4	40149	40148	"1529.62"	"833.12"	"356.88"	"62.5"	"19.62"	40154	32143	"0.38"	"-277.12"	"-27.62"	"127.5"	"148.12"	"81.88"	"40.12"	39943	13881	"33.84"	12389	42005	"0.39"	27395	"315.38"	"1604.5"	"1035.25"	"669.62"	"270.25"	"124.12"	"54.88"	"16.25"	"1.75"	"1630.62"	"837.38"	362	"84.75"	"33.62"	"15.25"	"6.62"	"1.62"	"297.12"	"39.62"	"0.25"	"102.62"	"13.88"	"0.88"
"smallMol_19"	"295.38"	"217.63"	13150	39845	"815.12"	"688.62"	"424.75"	"183.88"	"91.38"	"42.62"	22981	1	"112.25"	"105.38"	"95.5"	"26.88"	39957	"22.38"	"0.03"	"0.04"	"0.07"	"0.11"	"0.18"	"0.26"	"0.74"	12844	27454	42430	34700	"0.84"	"0.42"	"0.2"	"0.06"	27546	35186	39938	46966	44682	40156	"67.25"	43	"36.75"	31	24	"17.25"	"14.75"	39944	"22.75"	27638	45748	"15.75"	6	45689	27912	23255	39825	21155	"14.43"	"14.38"	"22.22"	"23.37"	40027	15373	13547	40148	45323	12844	17930	13881	"0.32"	39848	"618.25"	"353.88"	"134.88"	"42.12"	"14.62"	27454	0	"196.88"	"334.75"	"289.88"	"141.75"	"76.75"	"38.88"	22981	1	13	45748	"0.75"	0	0	"857.5"	"543.25"	289	"72.75"	23	8	"0.5"	0	"-42.38"	"145.38"	"135.75"	"111.12"	"68.38"	"34.62"	40159	1	"13.13"	24289	1	"0.83"	"0.17"	"136.11"	"1327.62"	"830.62"	"520.25"	"223.38"	"110.62"	"48.5"	"16.12"	"1.62"	"1371.38"	"709.62"	"271.88"	"54.25"	"20.88"	"7.88"	2	"0.12"	"236.25"	"37.88"	"0.25"	"60.75"	"6.75"	0
